Rank,Song,Artist(s),Album,GYD_PLAYLIST_NAME,GYD_TIMESTAMP
74,Never Hating,Lil Baby,It's Only Me,top-100-usa,2023-02-12 15:23:28.025519
74,Never Hating,Young Thug,It's Only Me,top-100-usa,2023-02-12 15:23:28.025519
75,On BS,Drake,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
75,On BS,21 Savage,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
76,March Madness,Future,56 Nights,top-100-usa,2023-02-12 15:23:28.025519
77,No Guidance (feat. Drake),Chris Brown,Indigo (Extended),top-100-usa,2023-02-12 15:23:28.025519
78,No Flockin,Kodak Black,No Flockin - Single,top-100-usa,2023-02-12 15:23:28.025519
79,Kacey Talk,YoungBoy Never Broke Again,Top,top-100-usa,2023-02-12 15:23:28.025519
80,Low Life (feat. The Weeknd),Future,EVOL,top-100-usa,2023-02-12 15:23:28.025519
81,Power Trip (feat. Miguel),J. Cole,Born Sinner (Deluxe Version),top-100-usa,2023-02-12 15:23:28.025519
82,Going Bad (feat. Drake),Meek Mill,Championships,top-100-usa,2023-02-12 15:23:28.025519
83,Lavender Haze,Taylor Swift,Midnights (3am Edition),top-100-usa,2023-02-12 15:23:28.025519
84,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53 - Single",top-100-usa,2023-02-12 15:23:28.025519
84,"Shakira: Bzrp Music Sessions, Vol. 53",Shakira,"Shakira: Bzrp Music Sessions, Vol. 53 - Single",top-100-usa,2023-02-12 15:23:28.025519
85,X SI VOLVEMOS,KAROL G,X SI VOLVEMOS - Single,top-100-usa,2023-02-12 15:23:28.025519
85,X SI VOLVEMOS,Romeo Santos,X SI VOLVEMOS - Single,top-100-usa,2023-02-12 15:23:28.025519
86,Efecto,Bad Bunny,Un Verano Sin Ti,top-100-usa,2023-02-12 15:23:28.025519
87,Super Gremlin,Kodak Black,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,top-100-usa,2023-02-12 15:23:28.025519
88,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,top-100-usa,2023-02-12 15:23:28.025519
89,Major Distribution,Drake,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
89,Major Distribution,21 Savage,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
90,Umbrella (feat. JAY Z),Rihanna,Good Girl Gone Bad: Reloaded,top-100-usa,2023-02-12 15:23:28.025519
91,Que Vuelvas,Carin Leon,Que Vuelvas - Single,top-100-usa,2023-02-12 15:23:28.025519
91,Que Vuelvas,Grupo Frontera,Que Vuelvas - Single,top-100-usa,2023-02-12 15:23:28.025519
92,Forever,Lil Baby,It's Only Me,top-100-usa,2023-02-12 15:23:28.025519
92,Forever,Fridayy,It's Only Me,top-100-usa,2023-02-12 15:23:28.025519
93,God's Plan,Drake,Scorpion,top-100-usa,2023-02-12 15:23:28.025519
94,Days That End In Why,Morgan Wallen,One Thing At A Time (Sampler) - Single,top-100-usa,2023-02-12 15:23:28.025519
95,Circo Loco,Drake,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
95,Circo Loco,21 Savage,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
96,Used (feat. Don Toliver),SZA,SOS,top-100-usa,2023-02-12 15:23:28.025519
97,I'm Good (Blue),David Guetta,I'm Good (Blue) - Single,top-100-usa,2023-02-12 15:23:28.025519
97,I'm Good (Blue),Bebe Rexha,I'm Good (Blue) - Single,top-100-usa,2023-02-12 15:23:28.025519
98,Pussy & Millions (feat. Travis Scott),Drake,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
98,Pussy & Millions (feat. Travis Scott),21 Savage,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
99,Calm Down,Rema,Calm Down - Single,top-100-usa,2023-02-12 15:23:28.025519
99,Calm Down,Selena Gomez,Calm Down - Single,top-100-usa,2023-02-12 15:23:28.025519
100,Beautiful Crazy,Luke Combs,This One’s for You Too (Deluxe Edition),top-100-usa,2023-02-12 15:23:28.025519
